"gene.pair","MFR.value","type"
"A7KAX9_O00212",0.677775609912772,"positive"
"A8K7I4_O00230",0.593242474964519,"negative"
"A8MTJ3_O00230",0.62837237061674,"positive"
"O00231_O00232",0.701241036494852,"positive"
"A2RUC4_O00398",0.547607238763403,"negative"
"A2VDF0_O00399",0.628509879201275,"negative"
"O00139_O00399",0.651617724576766,"positive"
"O00291_O00401",0.644955686609287,"positive"
"O00168_O00421",0.630000256707423,"negative"
"O00189_O00422",0.537663498927477,"negative"
"O00401_O00443",0.664790930582254,"positive"
"O00159_O00471",0.52077540554881,"positive"
"O00445_O00585",0.582698246066613,"negative"
"O00399_O00763",0.590907356912468,"negative"
"O00743_O14544",0.567088452553469,"negative"
"O00212_O14559",0.649732929526086,"positive"
"O00468_O14594",0.660996583455576,"positive"
"O00459_O14613",0.66836614323906,"negative"
"O00574_O14625",0.671657249488413,"positive"
"O00291_O14641",0.668669903848116,"positive"
"O00401_O14641",0.613007794291678,"positive"
"O14526_O14641",0.671411867507219,"positive"
"O00399_O14653",0.651689497328768,"positive"
"O00341_O14686",0.584147517493024,"negative"
"O00512_O14686",0.655061731188785,"positive"
"A1L3X0_O14734",0.602769771926847,"negative"
"O00139_O14746",0.659617301960121,"negative"
"O00311_O14757",0.788079516480743,"positive"
"A0AVF1_O14782",0.605149732820974,"positive"
"O00398_O14782",0.548115606089755,"negative"
"O00399_O14782",0.649157664197368,"positive"
"O00468_O14792",0.733846625317156,"positive"
"A1A4S6_O14796",0.57814185981341,"negative"
"O14494_O14796",0.432023688512175,"negative"
"O00232_O14818",0.746636517247034,"positive"
"O00233_O14818",0.750337979821404,"positive"
"A1A4S6_O14827",0.645440944376603,"positive"
"O00757_O14827",0.640231535919453,"negative"
"O14559_O14836",0.646926976662288,"negative"
"O00585_O14841",0.557134979415449,"negative"
"O00398_O14842",0.701146144095639,"positive"
"O00254_O14843",0.688777972635253,"positive"
"O00472_O14880",0.482291580582592,"negative"
"O00744_O14904",0.662001482415238,"positive"
"O00755_O14904",0.719575616005283,"positive"
"O14904_O14905",0.709286097196802,"positive"
"A8K7I4_O14920",0.50843421393136,"negative"
"O14494_O14920",0.557326924784537,"negative"
"O00401_O14925",0.581008499760119,"negative"
"O00567_O14939",0.587995577731963,"negative"
