"gene.pair","MFR.value","type"
"O00303_O14686",0.433906866300578,"negative"
"O14746_O14773",0.602444612894231,"positive"
"O14920_O14965",0.656312251526895,"positive"
"O14836_O14980",0.510401898476915,"negative"
"O14920_O15111",0.791680423827424,"positive"
"O14965_O15111",0.766673969359181,"positive"
"O00401_O15144",0.605291446008143,"positive"
"O15143_O15144",0.776319176664314,"positive"
"O15143_O15145",0.833720652211337,"positive"
"O15144_O15145",0.799790409833482,"positive"
"O14641_O15169",0.820872397375161,"positive"
"O15269_O15270",0.75378657593226,"positive"
"O00303_O15371",0.846549275584044,"positive"
"O00303_O15372",0.844437581796436,"positive"
"O15371_O15372",0.83953180022558,"positive"
"O15143_O15511",0.828213940012405,"positive"
"O15144_O15511",0.744103822361402,"positive"
"O15297_O15551",0.561194581093111,"negative"
"A8MYU2_O43143",0.423816746288572,"negative"
"O14672_O43432",0.516331119151381,"negative"
"O00175_O43542",0.6546509088697,"negative"
"O14836_O43542",0.612221422558168,"negative"
"O43502_O43542",0.806722498273877,"positive"
"O15371_O43557",0.508456563098948,"negative"
"O15455_O43561",0.61089933389691,"negative"
"O00203_O43683",0.584686117982088,"positive"
"O43739_O43809",0.589785685752291,"negative"
"O00268_O43889",0.662639413238404,"positive"
"O14798_O43924",0.480132573371583,"negative"
"O15269_O75293",0.574815794082105,"negative"
"O14965_O75330",0.752954917102901,"positive"
"O43561_O75367",0.611170746814825,"negative"
"O75143_O75385",0.69896668251574,"positive"
"O43739_O75396",0.557661245283983,"negative"
"O15234_O75460",0.520091785088132,"negative"
"O15379_O75529",0.654491001800421,"negative"
"O00303_O75822",0.701057436806944,"positive"
"O15372_O75822",0.71462707224541,"positive"
"O14836_O75888",0.602091678506597,"positive"
"O75175_O75899",0.609465121325331,"negative"
"O14640_O76064",0.7031760604355,"negative"
"O75376_O94907",0.635609081844362,"negative"
"O75581_O94907",0.728188815851412,"positive"
"O14980_O95149",0.727317566468633,"positive"
"O75143_O95166",0.683373434919989,"positive"
"O14920_O95256",0.599131687227633,"negative"
"O15371_O95256",0.501852781816462,"negative"
"O14836_O95352",0.504480699035503,"negative"
"O43557_O95407",0.629297185761212,"positive"
"O95150_O95407",0.663283784016231,"positive"
"O60934_O95602",0.593026328441799,"positive"
"O15145_O95727",0.558862542211471,"negative"
"O95602_O95727",0.451172938665571,"negative"
"O75340_O95750",0.658811618336187,"negative"
"O94817_O95786",0.638793747738983,"positive"
